Player,Team,Position,Games,PPR Fantasy Points,PPR Fantasy Points Per Game,Routes Run,Route Participation Percent,Rushing Snap Count,Rushing Snap Percent,Rushing Attempts,Rushing Yards,Rushing Yards Per Carry,Rushing Touchdowns,Rushing Fumbles,Rushing Fumbles Lost,Rushing First Downs,Red Zone Rush Attempts,Goal Line Rush Attempts,Goal Line Rushing Touchdowns,Rushing EPA,Rushing EPA Per Attempt,Rushing DYAR,Rushing DVOA,Rushing Success Rate,Yards Before Contact,Yards After Contact,Avoided Tackles,Avoided Tackle Percent,Win Yards Per Attempt,Explosive Runs,Explosive Run Rate,Explosive Yards,Explosive Touchdowns,Juke Rate,Stacked Box Yards Per Attempt,Second Level Yards Per Attempt,Open Field Yards Per Attempt,Adjusted Line Yards Per Attempt,Stuffed Rate,Power Run Success Rate,Inside Zone Attempts,Inside Zone Percent,Inside Zone Yards Per Attempt,Outside Zone Attempts,Outside Zone Percent,Outside Zone Yards Per Attempt,Power Attempts,Power Percent,Power Yards Per Attempt,Man/Duo Attempts,Man/Duo Percent,Man/Duo Yards Per Attempt,Counter Attempts,Counter Percent,Counter Yards Per Attempt,Stacked Box Attempts,Stacked Box Percent,Stacked Box Run Yards Per Attempt,Designed Run Attempts,Designed Run Percent,Designed Run Yards Per Attempt,Scramble Attempts,Scramble Percent,Scramble Yards Per Attempt,Rushing Attempt Share,Touches,Touch Share,Rushing Opportunities,Rushing Opportunity Share,Team Rushing Attempt Share,Team Rushing Touch Share,Team Rushing Opportunity Share,Rushing Attempts Per Game,Touches Per Game,Receiving Snap Count,Receiving Snap Percent,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Target,Yards Per Reception,Catch Percent,Yards After Catch,Yards After Catch Per Reception,Receiving First Downs,Longest Reception,100 Plus Yard Games,Targets Per Game,Receptions Per Game,Receiving Yards Per Game,End Zone Targets,End Zone Touchdowns,Receiving EPA,Receiving EPA Per Target,Receiving DYAR,Receiving DVOA,Routes Run Efficiency,Yards Per Route Run,Explosive Receptions,Explosive Reception Rate,Explosive Receiving Yards,Explosive Receiving Touchdowns,Catchable Targets,Catchable Target Rate,Adjusted Catch Percent,Contested Targets,Contested Target Rate,Contested Receptions,Contested Catch Rate,Created Catches,Drops,Drop Rate,Receiving Success Rate,Forced Missed Tackles,Single-High Coverage Target Percent,Single-High Coverage Yards Per Route Run,Two-High Coverage Target Percent,Two-High Coverage Yards Per Route Run,Zero Coverage Target Percent,Zero Coverage Yards Per Route Run,Man Coverage Target Percent,Man Coverage Yards Per Route Run,Zone Coverage Target Percent,Zone Coverage Yards Per Route Run,Tight Coverage Percent,Step Coverage Rate,Open Target Percent,Wide Open Target Percent,Close Coverage Target Percent,Wide Alignment Routes,Wide Alignment Percent,Wide Alignment Yards Per Route Run,Slot Alignment Routes,Slot Alignment Percent,Slot Alignment Yards Per Route Run,Backfield Alignment Routes,Backfield Alignment Percent,Backfield Alignment Yards Per Route Run,Inline Alignment Routes,Inline Alignment Percent,Inline Alignment Yards Per Route Run,Off-Line Alignment Routes,Off-Line Alignment Percent,Off-Line Alignment Yards Per Route Run,Air Yards,Average Depth of Target,Air Yards Per Game,Air Yards Per Route Run,Receiver Air Conversion Ratio,Weighted Opportunity Rating,Team Air Yards Share,Catchable Air Yards,Catchable Air Yards Rate,Prayer Yards,Prayer Yard Rate,Dropped Air Yards,20 Plus Yard Targets,20 Plus Yard Catches,20 Plus Yard Catch Rate,20 Plus Target Percent,20 Plus Yard Receiving Yards,20 Plus Yard Receiving Touchdowns,Target Share,First Read Targets,First Read Target Rate,First Read Target Share,Receiving Opportunities,Receiving Opportunity Share
Sean Tucker,TB,RB,14.0,74.0,5.29,66.0,11.074,165.0,14.851,86.0,320.0,3.721,7.0,1.0,0.0,22.0,21.0,11.0,4.0,-4.146,-0.048,0.384,-8.49,37.209,1.791,1.93,16.0,18.605,1.953,7.0,8.14,127.0,1.0,1.163,2.537,1.14,1.477,4.044,23.256,73.33,23.0,26.744,3.957,14.0,16.279,1.786,11.0,12.791,6.545,23.0,26.744,3.0,12.0,13.953,3.917,41.0,47.674,2.537,0.0,0.0,0.0,0.0,0.0,0.0,18.22,94.0,11.422,97.0,9.082,20.773,12.24,9.576,6.143,6.714,,,,,,,,,,,,,,,,,,,,,,,,66.0,0.515,1.0,9.091,28.0,1.0,10.0,90.909,80.0,1.0,9.091,0.0,0.0,0.0,1.0,10.0,18.182,1.0,54.545,0.833,40.909,0.148,4.545,0.0,27.273,1.667,72.727,0.083,9.091,0.0,54.545,27.273,9.091,7.0,10.606,0.0,0.0,0.0,0.0,59.0,89.394,0.576,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-0.909,-0.714,-0.152,-3.4,0.026,-0.222,-14.0,140.0,4.0,-40.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.846,3.0,27.273,0.469,97.0,9.082
Jaylen Wright,MIA,RB,9.0,40.8,4.53,39.0,7.544,114.0,11.826,70.0,288.0,4.114,2.0,2.0,1.0,17.0,12.0,4.0,1.0,-5.776,-0.083,-1.806,-9.19,47.143,1.314,2.8,15.0,21.429,2.8,6.0,8.571,94.0,0.0,0.0,4.0,2.071,1.343,3.973,17.143,80.0,13.0,18.571,4.538,23.0,32.857,3.217,8.0,11.429,4.25,18.0,25.714,4.111,4.0,5.714,7.5,41.0,58.571,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.204,75.0,9.947,79.0,8.325,17.456,9.947,8.325,7.778,8.333,,,,,,,,,,,,,,,,,,,,,,,,39.0,1.128,0.0,0.0,0.0,0.0,7.0,77.778,71.429,2.0,22.222,0.0,0.0,0.0,1.0,14.286,44.444,2.0,74.359,1.069,23.077,1.444,2.564,0.0,17.949,4.429,82.051,0.406,22.222,0.0,55.556,11.111,11.111,1.0,2.564,0.0,8.0,20.513,0.0,30.0,76.923,1.467,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-3.778,-3.778,-0.872,-1.294,0.019,-1.011,-23.0,67.647,-11.0,32.353,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741,1.0,11.111,0.188,79.0,8.325
Malik Davis,DAL,RB,9.0,37.0,4.11,80.0,12.214,139.0,12.097,52.0,250.0,4.808,2.0,0.0,0.0,11.0,8.0,2.0,1.0,0.133,0.003,31.576,5.28,40.385,3.0,1.808,4.0,7.692,1.808,4.0,7.692,101.0,1.0,0.0,4.96,1.077,1.942,4.392,5.769,33.33,16.0,30.769,2.75,16.0,30.769,3.875,5.0,9.615,6.4,9.0,17.308,8.222,2.0,3.846,5.5,25.0,48.077,4.96,0.0,0.0,0.0,0.0,0.0,0.0,11.183,54.0,6.109,57.0,5.089,12.776,6.109,5.089,5.778,6.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,0.2,0.0,0.0,0.0,0.0,4.0,80.0,50.0,2.0,40.0,1.0,50.0,0.0,1.0,25.0,0.0,0.0,27.5,0.0,65.0,0.308,7.5,0.0,18.75,0.0,81.25,0.246,60.0,0.0,0.0,20.0,20.0,1.0,1.25,0.0,2.0,2.5,0.0,70.0,87.5,0.229,0.0,0.0,0.0,7.0,8.75,0.0,18.0,3.6,2.0,0.225,0.889,0.014,0.355,15.0,83.333,3.0,16.667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.0,57.0,5.089
Bhayshul Tuten,JAX,RB,15.0,60.7,4.05,90.0,14.901,203.0,17.87,83.0,307.0,3.699,5.0,1.0,1.0,23.0,25.0,7.0,3.0,-10.471,-0.126,36.61,0.78,46.988,1.145,2.554,19.0,22.892,2.554,5.0,6.024,61.0,0.0,0.0,3.731,1.494,0.735,4.49,14.458,54.55,30.0,36.145,4.133,24.0,28.916,2.875,7.0,8.434,4.571,15.0,18.072,3.733,4.0,4.819,3.0,26.0,31.325,3.731,0.0,0.0,0.0,0.0,0.0,0.0,16.973,93.0,11.164,97.0,8.875,21.013,12.383,9.594,5.533,6.2,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.878,1.0,7.143,24.0,0.0,11.0,78.571,90.909,1.0,7.143,0.0,0.0,0.0,2.0,18.182,57.143,4.0,50.0,0.044,44.444,1.725,5.556,1.6,31.111,0.679,68.889,0.968,7.143,21.429,57.143,0.0,14.286,5.0,5.556,0.0,4.0,4.444,1.25,81.0,90.0,0.914,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.571,0.615,0.089,9.875,0.036,0.164,3.0,37.5,5.0,62.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.318,5.0,35.714,0.773,97.0,8.875
Tank Bigsby,PHI,RB,12.0,47.6,3.97,53.0,9.962,129.0,12.251,63.0,356.0,5.651,2.0,0.0,0.0,18.0,18.0,6.0,1.0,7.132,0.113,62.496,16.38,47.619,2.175,3.476,29.0,46.032,3.54,13.0,20.635,198.0,1.0,1.587,5.341,1.19,3.143,5.061,12.698,33.33,17.0,26.984,3.059,7.0,11.111,6.571,7.0,11.111,6.143,20.0,31.746,6.3,2.0,3.175,6.5,41.0,65.079,5.341,0.0,0.0,0.0,0.0,0.0,0.0,13.18,66.0,8.291,67.0,6.634,17.26,9.551,7.403,5.727,6.0,,,,,,,,,,,,,,,,,,,,,,,,53.0,0.604,1.0,25.0,31.0,0.0,3.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,64.151,0.912,35.849,0.053,0.0,0.0,30.189,0.0,69.811,0.865,0.0,0.0,75.0,25.0,0.0,4.0,7.547,0.0,1.0,1.887,0.0,48.0,90.566,0.667,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-1.5,-0.5,-0.113,-5.333,0.01,-0.134,-7.0,116.667,1.0,-16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752,0.0,0.0,0.0,67.0,6.634
Keaton Mitchell,BLT,RB,12.0,40.1,3.34,50.0,10.707,119.0,11.771,59.0,341.0,5.78,1.0,1.0,0.0,16.0,14.0,0.0,0.0,1.075,0.018,37.651,6.24,35.593,3.0,2.78,11.0,18.644,2.78,10.0,16.949,205.0,1.0,0.0,6.789,1.169,3.475,4.31,11.864,100.0,9.0,15.254,6.0,25.0,42.373,6.2,9.0,15.254,3.444,3.0,5.085,3.0,7.0,11.864,10.143,38.0,64.407,6.789,0.0,0.0,0.0,0.0,0.0,0.0,11.637,68.0,8.662,71.0,7.29,14.32,9.471,7.828,4.917,5.667,,,,,,,,,,,,,,,,,,,,,,,,50.0,1.26,0.0,0.0,0.0,0.0,10.0,83.333,90.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,50.0,0.0,64.0,1.313,32.0,1.313,4.0,0.0,28.0,1.214,72.0,1.278,0.0,0.0,58.333,41.667,0.0,1.0,2.0,0.0,7.0,14.0,1.0,40.0,80.0,1.4,0.0,0.0,0.0,2.0,4.0,0.0,-28.0,-2.333,-2.333,-0.56,-2.25,0.033,-0.818,-19.0,67.857,-9.0,32.143,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,71.0,7.29
Brian Robinson,SF,RB,17.0,52.0,3.06,68.0,11.314,167.0,15.072,92.0,400.0,4.348,2.0,0.0,0.0,20.0,13.0,2.0,1.0,-2.05,-0.022,54.696,5.37,43.478,2.043,2.304,23.0,25.0,2.304,10.0,10.87,135.0,1.0,0.0,4.389,1.478,1.467,4.515,14.13,100.0,24.0,26.087,3.958,32.0,34.783,4.688,4.0,4.348,6.25,19.0,20.652,4.053,5.0,5.435,2.2,36.0,39.13,4.389,0.0,0.0,0.0,0.0,0.0,0.0,19.127,100.0,11.377,104.0,9.612,22.384,11.377,9.612,6.133,6.667,,,,,,,,,,,,,,,,,,,,,,,,68.0,0.368,0.0,0.0,0.0,0.0,9.0,75.0,88.889,2.0,16.667,0.0,0.0,0.0,0.0,0.0,16.667,1.0,54.412,0.216,42.647,0.586,2.941,0.0,25.0,0.0,75.0,0.49,8.333,8.333,33.333,25.0,25.0,2.0,2.941,0.0,2.0,2.941,0.0,64.0,94.118,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,-8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.997,1.0,8.333,0.159,104.0,9.612
Ray Davis,BUF,RB,16.0,27.5,1.72,62.0,11.589,136.0,12.014,58.0,275.0,4.741,0.0,0.0,0.0,15.0,7.0,2.0,0.0,-2.409,-0.042,55.708,14.78,41.379,2.103,2.638,11.0,18.966,2.638,9.0,15.517,130.0,0.0,0.0,5.156,1.259,2.241,4.711,17.241,50.0,13.0,22.414,5.231,20.0,34.483,6.05,10.0,17.241,3.6,12.0,20.69,3.25,2.0,3.448,2.5,32.0,55.172,5.156,0.0,0.0,0.0,0.0,0.0,0.0,10.603,68.0,7.632,71.0,6.562,13.615,8.729,7.32,5.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,62.0,1.387,1.0,7.692,21.0,0.0,11.0,84.615,90.909,1.0,7.692,0.0,0.0,0.0,1.0,9.091,61.538,2.0,67.742,1.333,24.194,2.0,8.065,0.0,45.161,1.143,54.839,1.588,7.692,23.077,69.231,0.0,0.0,0.0,0.0,0.0,2.0,3.226,0.0,60.0,96.774,1.433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.077,0.063,0.016,86.0,0.037,0.028,-7.0,-700.0,8.0,800.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,2.0,15.385,0.342,71.0,6.562
