position,bucket,n,mean_residual_pct,median_residual_pct,mean_residual_points,mean_actual_fp,mean_expected_fp,weather_mean,weather_variable
DST,<10,2519,0.05393895103116817,-0.15015106814559875,-0.1699968095108575,5.100833664152441,5.270830473663299,5.965829694323144,wind_speed_mph_avg
DST,10-14.9,774,0.18649071465303851,-0.022019448931759424,0.45306812421932097,5.749354005167959,5.296285880948638,11.968120155038761,wind_speed_mph_avg
DST,15-19.9,220,0.08940005816347762,-0.0916098429830738,0.0152875022778375,5.377272727272727,5.36198522499489,16.999545454545455,wind_speed_mph_avg
DST,20-24.9,36,0.36595441308573085,-0.1168733653749936,1.3604053744082472,6.0,4.639594625591752,21.36111111111111,wind_speed_mph_avg
DST,25+,7,-0.0046966512289875985,-0.2444947599518952,-0.6202576728130443,5.0,5.620257672813045,27.32857142857143,wind_speed_mph_avg
K,<10,2573,0.07327146152173758,-0.025792941446105815,0.16338974792674937,8.032646715895842,7.8692569679690925,5.971006607073455,wind_speed_mph_avg
K,10-14.9,778,0.02143878713890994,-0.06934900273412647,-0.30966677979393353,7.451156812339332,7.760823592133265,11.967480719794345,wind_speed_mph_avg
K,15-19.9,222,-0.025751171829473778,-0.11598486670591926,-0.6512341696968276,7.324324324324325,7.9755584940211515,16.989864864864863,wind_speed_mph_avg
K,20-24.9,35,-0.15451119966219842,-0.35234187758336577,-1.6166565876436807,6.2,7.81665658764368,21.392857142857142,wind_speed_mph_avg
K,25+,8,-0.3415042024252718,-0.2549580452712874,-2.3430394620875483,4.75,7.093039462087548,27.525,wind_speed_mph_avg
QB,<10,2573,0.056068963414104604,-3.161388167055072e-06,0.32531459801892165,16.75141857753595,16.42610397951703,5.976272833268558,wind_speed_mph_avg
QB,10-14.9,784,-0.011893036795841017,-0.0564607065831898,-0.7193698234610475,15.415535714285715,16.13490553774676,11.96938775510204,wind_speed_mph_avg
QB,15-19.9,222,-0.01326965943547013,-0.060004744889138276,-0.688564582989854,15.523243243243243,16.2118078262331,16.989864864864863,wind_speed_mph_avg
QB,20-24.9,36,-0.27581473111335764,-0.2707658882340725,-4.977723739260518,12.604444444444445,17.58216818370496,21.36111111111111,wind_speed_mph_avg
QB,25+,8,-0.4031544973940048,-0.335662268011643,-6.658169312505737,10.605,17.263169312505738,27.525,wind_speed_mph_avg
RB,<10,2577,0.025786967200691582,-0.05229223929665549,-0.030043541801723653,22.457283663174234,22.48732720497596,5.973156771439659,wind_speed_mph_avg
RB,10-14.9,785,0.025700701948804566,-0.0487903546887447,-0.1185100971071081,22.625503184713377,22.744013281820486,11.967547770700637,wind_speed_mph_avg
RB,15-19.9,222,0.07305232586072342,-0.00978441271505706,0.6177514125873179,22.914144144144146,22.29639273155683,16.989864864864863,wind_speed_mph_avg
RB,20-24.9,36,-0.1047420802376207,-0.23276161953647762,-2.7691112022538986,21.647222222222226,24.41633342447612,21.36111111111111,wind_speed_mph_avg
RB,25+,8,0.07067666757422342,-0.08080446079978724,1.2904262064413543,22.2875,20.997073793558645,27.525,wind_speed_mph_avg
TE,<10,2569,0.10003738510264082,-0.06165194606561066,0.30801073154534264,12.762444530945894,12.454433799400551,5.977481510315298,wind_speed_mph_avg
