position,model,term,coef,std_err,p_value,ci_low,ci_high,n,r2
DST,raw,temperature_f_avg,1.3937332312688217e-05,0.0009862413135645883,0.9887248566926162,-0.0019190601223393789,0.0019469347869647555,3556,0.039642593171988594
DST,raw,wind_speed_mph_avg,0.022732326328301893,0.008796226821234857,0.00975692439465124,0.005492038558836329,0.03997261409776746,3556,0.039642593171988594
DST,raw,wind_gust_mph_max,-0.009912333893746331,0.004657535010128064,0.033317517608515056,-0.01904093477033173,-0.0007837330171609289,3556,0.039642593171988594
DST,raw,rain_mm_h_avg,0.10581933537915438,0.03640227785279171,0.0036498006251556594,0.034472181832462576,0.1771664889258462,3556,0.039642593171988594
DST,raw,snow_cm_h_avg,0.2538164974612121,0.18208512352897152,0.16333446281208652,-0.1030637867760989,0.6106967816985232,3556,0.039642593171988594
DST,piecewise,wind_over_10,0.030686664383922386,0.012489579348478516,0.014010993346081715,0.00620753867884926,0.05516579008899551,3556,0.040020396892973764
DST,piecewise,gust_over_20,-0.011424485272814611,0.005446881367037068,0.03595499372639246,-0.02210017658026956,-0.0007487939653596631,3556,0.040020396892973764
DST,piecewise,rain_any,0.03010539174428318,0.046867338989712,0.5206437882276739,-0.06175290472678218,0.12196368821534853,3556,0.040020396892973764
DST,piecewise,rain_mm_h_avg,0.09310324535621561,0.04079421769738035,0.02247365605275398,0.013148047891863635,0.1730584428205676,3556,0.040020396892973764
DST,piecewise,snow_any,-0.07297837906547862,0.1370283454771802,0.5943252449892595,-0.3415490010618638,0.1955922429309066,3556,0.040020396892973764
DST,piecewise,snow_cm_h_avg,0.28207970720141823,0.24439693900959264,0.2484236161887723,-0.19692949118921554,0.761088905592052,3556,0.040020396892973764
DST,piecewise,cold_10f,0.02930176921572624,0.019388227437971618,0.13070755380869445,-0.008698458286769413,0.0673019967182219,3556,0.040020396892973764
DST,piecewise,heat_10f,0.0828228673101081,0.18808036099456138,0.6596771626707754,-0.2858078664385242,0.45145360105874044,3556,0.040020396892973764
DST,interaction,wind_over_10,0.031575264256162215,0.013596276711191341,0.02021429105971199,0.004927051578386493,0.05822347693393794,3556,0.040211369554773224
DST,interaction,gust_over_20,-0.011438775250970534,0.005443506387032352,0.03560923675849744,-0.022107851719167695,-0.0007696987827733714,3556,0.040211369554773224
DST,interaction,rain_any,0.026191983821983202,0.05067650123664627,0.6052631580471122,-0.073132133464343,0.1255161011083094,3556,0.040211369554773224
DST,interaction,rain_mm_h_avg,0.09248187827167026,0.04086841194077111,0.023640724578185664,0.012381262762412193,0.17258249378092833,3556,0.040211369554773224
DST,interaction,snow_any,0.0008034366494779899,0.15409000140541879,0.9958397898130313,-0.3012074164828692,0.3028142897818251,3556,0.040211369554773224
DST,interaction,snow_cm_h_avg,0.2807135862134059,0.2376333408757979,0.23748804491019937,-0.18503920342908786,0.7464663758558997,3556,0.040211369554773224
DST,interaction,cold_10f,0.028707920988611725,0.01941753331778026,0.13928642226395954,-0.009349744982844133,0.06676558696006758,3556,0.040211369554773224
DST,interaction,heat_10f,0.08385013361030125,0.18810851390383543,0.6557749104439028,-0.2848357788265682,0.4525360460471707,3556,0.040211369554773224
DST,interaction,wind_over_10:rain_any,0.0028763484160228316,0.013416718927030247,0.8302465399333189,-0.02341993747165333,0.029172634303698992,3556,0.040211369554773224
DST,interaction,wind_over_10:snow_any,-0.024718190123844377,0.021823028010218862,0.25735476649912914,-0.06749053905748215,0.01805415880979339,3556,0.040211369554773224
K,raw,temperature_f_avg,0.001996990181654619,0.0006201761939438137,0.0012817413135120773,0.0007814671774556167,0.0032125131858536213,3616,0.013362599758826699
K,raw,wind_speed_mph_avg,-0.012836292705034186,0.005995206650749893,0.03226656984839056,-0.02458668182037898,-0.0010859035896893954,3616,0.013362599758826699
K,raw,wind_gust_mph_max,0.0018794948067638226,0.0031632303642356724,0.5523987918612026,-0.004320322781941612,0.008079312395469258,3616,0.013362599758826699
K,raw,rain_mm_h_avg,-0.01922472417731775,0.020544807706233164,0.3494039166267724,-0.05949180735083571,0.02104235899620021,3616,0.013362599758826699
K,raw,snow_cm_h_avg,-0.13811180448098534,0.16074999332842688,0.3902459334935393,-0.45317600191975593,0.17695239295778528,3616,0.013362599758826699
K,piecewise,wind_over_10,-0.007299690750485762,0.008183235073235033,0.37237688093394483,-0.023338536771051417,0.008739155270079894,3616,0.013293966555472103
K,piecewise,gust_over_20,-0.003238912730374317,0.0036028382527436677,0.36865840563473984,-0.010300345947875123,0.0038225204871264883,3616,0.013293966555472103
K,piecewise,rain_any,-0.03306991352730578,0.031740205139892036,0.2974610565301271,-0.09527957246340728,0.029139745408795714,3616,0.013293966555472103
K,piecewise,rain_mm_h_avg,-0.001240629001748976,0.023893499430439464,0.9585898198456192,-0.04807102735003862,0.045589769346540666,3616,0.013293966555472103
K,piecewise,snow_any,-0.10704277864239774,0.06621850317757363,0.10598439952667274,-0.23682865998059321,0.022743102695797726,3616,0.013293966555472103
K,piecewise,snow_cm_h_avg,0.04755805812871229,0.15665266722287421,0.7614408796093465,-0.2594755277102594,0.35459164396768394,3616,0.013293966555472103
K,piecewise,cold_10f,-0.038585285372985445,0.01170451699763931,0.0009785757078246125,-0.06152571714479538,-0.015644853601175512,3616,0.013293966555472103
K,piecewise,heat_10f,0.02051466767122645,0.10204806668471848,0.840675539043735,-0.17949586772276352,0.22052520306521642,3616,0.013293966555472103
K,interaction,wind_over_10,-0.010676972911252487,0.009041804400412983,0.23766415462823876,-0.028398583891317712,0.007044638068812739,3616,0.013558498572466604
K,interaction,gust_over_20,-0.003073288178097381,0.0036098123600061395,0.3945635082839791,-0.01014839039465695,0.0040018140384621885,3616,0.013558498572466604
K,interaction,rain_any,-0.041288554079627574,0.03451827532723373,0.2316434650359731,-0.10894313052944322,0.026366022370188077,3616,0.013558498572466604
K,interaction,rain_mm_h_avg,-0.0011260799206871102,0.024050260454018667,0.9626551403394885,-0.04826372422937163,0.0460115643879974,3616,0.013558498572466604
K,interaction,snow_any,-0.15249438595196135,0.08020923235526721,0.05727485245302347,-0.3097015925958899,0.0047128206919671844,3616,0.013558498572466604
K,interaction,snow_cm_h_avg,0.056362445402945494,0.1606788317354017,0.7257556215371445,-0.25856227787641334,0.3712871686823043,3616,0.013558498572466604
K,interaction,cold_10f,-0.037928474681083124,0.01173205331561447,0.0012254339217367672,-0.06092287664439121,-0.014934072717775037,3616,0.013558498572466604
K,interaction,heat_10f,0.019874463929649006,0.10196641582017542,0.8454619480614584,-0.17997603871053,0.219724966569828,3616,0.013558498572466604
K,interaction,wind_over_10:rain_any,0.0054430731972685414,0.008440362092852819,0.5190009229641527,-0.011099732521200098,0.02198587891573718,3616,0.013558498572466604
K,interaction,wind_over_10:snow_any,0.012906934752030438,0.01277385519204489,0.31229500999065873,-0.01212936136810752,0.037943230872168394,3616,0.013558498572466604
QB,raw,temperature_f_avg,0.002379076332729259,0.0005534237011537019,1.7169941273761704e-05,0.0012943858102771454,0.003463766855181373,3623,0.03271525178277612
QB,raw,wind_speed_mph_avg,-0.01307714858270436,0.005333197518854344,0.014205368642061945,-0.023530023642097248,-0.002624273523311472,3623,0.03271525178277612
QB,raw,wind_gust_mph_max,0.0026358930683415597,0.0026909358765710447,0.32731071303918813,-0.002638244334444408,0.007910030471127528,3623,0.03271525178277612
QB,raw,rain_mm_h_avg,-0.06923644255623453,0.017695946599033535,9.132305778033418e-05,-0.10391986056268432,-0.03455302454978474,3623,0.03271525178277612
QB,raw,snow_cm_h_avg,-0.16498461697717542,0.1629363861283259,0.31126524207566963,-0.48433406555980585,0.154364831605455,3623,0.03271525178277612
QB,piecewise,wind_over_10,-0.0125760916514833,0.007251615553403146,0.08287428812330083,-0.02678899696588396,0.0016368136629173573,3623,0.031186373148129887
QB,piecewise,gust_over_20,-0.0007106024862842049,0.0030606622936373788,0.8164038152871579,-0.006709390350653223,0.0052881853780848125,3623,0.031186373148129887
QB,piecewise,rain_any,-0.03372354630182672,0.02864257067538065,0.23903890416941775,-0.0898619532502159,0.022414860646562444,3623,0.031186373148129887
QB,piecewise,rain_mm_h_avg,-0.050758514075370006,0.020309512900770144,0.012445710093799507,-0.09056442790443109,-0.010952600246308924,3623,0.031186373148129887
QB,piecewise,snow_any,0.08509971643988026,0.07536812782904223,0.25884690233581586,-0.06261909968725349,0.232818532567014,3623,0.031186373148129887
QB,piecewise,snow_cm_h_avg,-0.2598766948976729,0.1698453186023483,0.12599726352135057,-0.5927674023010064,0.07301401250566064,3623,0.031186373148129887
QB,piecewise,cold_10f,-0.04435402901261161,0.010033898013130543,9.85099065191124e-06,-0.06402010774289549,-0.024687950282327738,3623,0.031186373148129887
QB,piecewise,heat_10f,0.08189770996887939,0.10235519650288197,0.4236340855941294,-0.11871478880728935,0.2825102087450481,3623,0.031186373148129887
QB,interaction,wind_over_10,-0.009184048563779884,0.008106995599452103,0.2572752503808535,-0.02507346796153071,0.006705370833970943,3623,0.0318338334822057
QB,interaction,gust_over_20,-0.0008807740847544116,0.0030700089321474373,0.7741917532724557,-0.006897881023979659,0.005136332854470836,3623,0.0318338334822057
QB,interaction,rain_any,-0.027280910956175186,0.031109631489144633,0.38052567622162436,-0.08825466824721184,0.03369284633486146,3623,0.0318338334822057
QB,interaction,rain_mm_h_avg,-0.05112447463410371,0.020289727231692797,0.0117447510536066,-0.09089160926436317,-0.011357340003844252,3623,0.0318338334822057
QB,interaction,snow_any,0.14718024250427142,0.09279574602621286,0.11272418022780117,-0.03469607762563162,0.3290565626341745,3623,0.0318338334822057
QB,interaction,snow_cm_h_avg,-0.26950933193476745,0.168293871970389,0.1092837161695505,-0.5993592598155248,0.060340595945989894,3623,0.0318338334822057
QB,interaction,cold_10f,-0.04515748228579662,0.01008007438869532,7.468645162061166e-06,-0.06491406504912406,-0.02540089952246919,3623,0.0318338334822057
QB,interaction,heat_10f,0.0828455149222848,0.10250528925889522,0.4189713017990152,-0.11806116025001027,0.28375219009457986,3623,0.0318338334822057
QB,interaction,wind_over_10:rain_any,-0.004088757588709099,0.007550645574815722,0.5881554221361438,-0.018887750975374647,0.01071023579795645,3623,0.0318338334822057
QB,interaction,wind_over_10:snow_any,-0.018398198179015127,0.010077142853931164,0.06789010212940477,-0.038149035239785384,0.0013526388817551305,3623,0.0318338334822057
RB,raw,temperature_f_avg,0.00022805334321366537,0.0004315179317190446,0.5971585921258067,-0.0006177062616388762,0.001073812948066207,3628,0.012814433545751513
RB,raw,wind_speed_mph_avg,-0.005119512509129093,0.004337889827541454,0.23792664331114288,-0.013621620340013008,0.003382595321754823,3628,0.012814433545751513
RB,raw,wind_gust_mph_max,0.003522368170585096,0.002235813694844565,0.11515720347389595,-0.0008597461474516774,0.00790448248862187,3628,0.012814433545751513
RB,raw,rain_mm_h_avg,-0.01610534538596514,0.01817965233268007,0.37567167153541214,-0.05173680920947765,0.01952611843754738,3628,0.012814433545751513
RB,raw,snow_cm_h_avg,-0.034809729524486716,0.09476522158272976,0.7133758644097667,-0.22054615081359488,0.15092669176462145,3628,0.012814433545751513
RB,piecewise,wind_over_10,-0.004113029593937188,0.006240860945396524,0.5098646712227648,-0.016344892279436966,0.008118833091562591,3628,0.013720709117083452
RB,piecewise,gust_over_20,0.003253788611111883,0.0026230693559293784,0.2148086829625777,-0.0018873328554603747,0.00839491007768414,3628,0.013720709117083452
RB,piecewise,rain_any,0.0021872440694960995,0.024704992709137532,0.9294518684118652,-0.04623365187873808,0.050608140017730285,3628,0.013720709117083452
RB,piecewise,rain_mm_h_avg,-0.017394338103653526,0.021627746934174706,0.42124666392902044,-0.05978394316138252,0.024995266954075467,3628,0.013720709117083452
RB,piecewise,snow_any,0.09608631498218095,0.07653015988358755,0.2092845126344306,-0.05391004212074271,0.24608267208510462,3628,0.013720709117083452
RB,piecewise,snow_cm_h_avg,-0.15372437624542748,0.10782532959322814,0.15396083834407157,-0.3650581388693155,0.05760938637846055,3628,0.013720709117083452
RB,piecewise,cold_10f,-0.013742040955775863,0.007757805821077599,0.07649712770370956,-0.028947060964143137,0.0014629790525914118,3628,0.013720709117083452
RB,piecewise,heat_10f,-0.09789270651537153,0.08681007170278442,0.2594612928454548,-0.2680373205481687,0.07225190751742562,3628,0.013720709117083452
RB,interaction,wind_over_10,0.0031716723900374784,0.0065075737828169606,0.625987857768206,-0.009582937851020844,0.0159262826310958,3628,0.016446624015401312
RB,interaction,gust_over_20,0.0028934491308247297,0.0025992664694355393,0.26563151337257185,-0.002201019535491508,0.007987917797140968,3628,0.016446624015401312
RB,interaction,rain_any,0.01854648888356419,0.026752928046982864,0.4881521704720273,-0.033888286569513704,0.07098126433664209,3628,0.016446624015401312
RB,interaction,rain_mm_h_avg,-0.017859750233677182,0.02166901041420767,0.4098219459194766,-0.06033023022614758,0.024610729758793214,3628,0.016446624015401312
RB,interaction,snow_any,0.20537340731282042,0.08194461543053924,0.0122020512523078,0.044764912341978325,0.3659819022836625,3628,0.016446624015401312
RB,interaction,snow_cm_h_avg,-0.17203255242276624,0.10636421196992155,0.1057938397667108,-0.38050257712779656,0.0364374722822641,3628,0.016446624015401312
RB,interaction,cold_10f,-0.015266276785189837,0.007703432475907823,0.0475072356898659,-0.03036472699530539,-0.0001678265750742862,3628,0.016446624015401312
RB,interaction,heat_10f,-0.0961762398250518,0.08646114427516385,0.2659817982261987,-0.26563696866649444,0.07328448901639084,3628,0.016446624015401312
RB,interaction,wind_over_10:rain_any,-0.010649621175154417,0.006687736642453476,0.11129252789267575,-0.023757344132452056,0.0024581017821432224,3628,0.016446624015401312
RB,interaction,wind_over_10:snow_any,-0.03192701467491226,0.008920961531222557,0.0003450752032628394,-0.049411777983575766,-0.014442251366248757,3628,0.016446624015401312
TE,raw,temperature_f_avg,0.0015960376652170655,0.0007612404115655232,0.03602655314179949,0.00010403387497219183,0.003088041455461939,3614,0.012709269933876777
TE,raw,wind_speed_mph_avg,-0.004721077620068927,0.006803329499815078,0.48772212823484773,-0.01805535841466538,0.008613203174527526,3614,0.012709269933876777
TE,raw,wind_gust_mph_max,-0.003937250871430611,0.0037247349175405084,0.2904863395063152,-0.011237597161768774,0.0033630954189075536,3614,0.012709269933876777
TE,raw,rain_mm_h_avg,-0.043448041987741284,0.02535203049471187,0.08656740464597984,-0.09313710869233771,0.006241024716855149,3614,0.012709269933876777
TE,raw,snow_cm_h_avg,-0.1940061168884772,0.1789005512641229,0.27817173060525224,-0.5446447541805197,0.15663252040356535,3614,0.012709269933876777
TE,piecewise,wind_over_10,-0.02419993759979073,0.009326687246835877,0.009467403995002075,-0.04247990869865808,-0.005919966500923378,3614,0.01678427531601867
TE,piecewise,gust_over_20,-0.00034969187326932183,0.00461911196267751,0.9396534531372988,-0.009402984960675365,0.00870360121413672,3614,0.01678427531601867
TE,piecewise,rain_any,-0.07956088644158293,0.03766580453203739,0.03466207419842183,-0.15338450677310178,-0.0057372661100641015,3614,0.01678427531601867
TE,piecewise,rain_mm_h_avg,-0.012000131908254818,0.029374533529852604,0.6828907641379794,-0.06957315968943015,0.045572895872920516,3614,0.01678427531601867
TE,piecewise,snow_any,0.24864257068596674,0.13355909699073668,0.06265003518355707,-0.013128449223569039,0.5104135905955025,3614,0.01678427531601867
TE,piecewise,snow_cm_h_avg,-0.4753109739683349,0.1855040323813787,0.010399115524781033,-0.8388921964227891,-0.1117297515138807,3614,0.01678427531601867
TE,piecewise,cold_10f,-0.04437586443841463,0.014215487798702705,0.0017983686903562041,-0.0722377085465405,-0.016514020330288755,3614,0.01678427531601867
TE,piecewise,heat_10f,-0.057176097030268706,0.15034629472152872,0.7037256919109808,-0.35184941989350943,0.237497225832972,3614,0.01678427531601867
TE,interaction,wind_over_10,-0.024360869166551277,0.009981784275420482,0.014665625318007993,-0.04392480684782366,-0.004796931485278891,3614,0.01711066233737435
TE,interaction,gust_over_20,-0.00036557654867040387,0.004612592060559873,0.9368288388582757,-0.00940609086274315,0.008674937765402343,3614,0.01711066233737435
TE,interaction,rain_any,-0.08712116374828416,0.04154882972216504,0.036007921165506857,-0.16855537360351497,-0.005686953893053348,3614,0.01711066233737435
TE,interaction,rain_mm_h_avg,-0.012971751641545721,0.029586705188554566,0.6610733175168668,-0.07096062823231701,0.04501712494922557,3614,0.01711066233737435
TE,interaction,snow_any,0.31588512749329745,0.17432592529879676,0.06998039030396314,-0.025787407663964035,0.6575576626505589,3614,0.01711066233737435
TE,interaction,snow_cm_h_avg,-0.483023976603334,0.19040407081391042,0.011185921625049468,-0.8562090979084125,-0.10983885529825554,3614,0.01711066233737435
TE,interaction,cold_10f,-0.044850918536795,0.014277117840746594,0.00168110828960762,-0.07283355530769259,-0.016868281765897414,3614,0.01711066233737435
TE,interaction,heat_10f,-0.05617446454157971,0.15047777311082366,0.708919677887198,-0.3511054803125839,0.23875655122942446,3614,0.01711066233737435
TE,interaction,wind_over_10:rain_any,0.005595241077237158,0.008367246849536677,0.503682055281511,-0.01080426139761096,0.021994743552085277,3614,0.01711066233737435
TE,interaction,wind_over_10:snow_any,-0.02100142762759835,0.016745648837036997,0.2097902643527313,-0.05382229624594591,0.011819440990749205,3614,0.01711066233737435
WR,raw,temperature_f_avg,0.0019466571237133701,0.00045383252679144,1.7917799245770256e-05,0.0010571617161893386,0.002836152531237402,3628,0.02854625593922233
WR,raw,wind_speed_mph_avg,-0.014391738175999817,0.0040580839141942235,0.00039047837446589854,-0.022345436494061826,-0.006438039857937807,3628,0.02854625593922233
WR,raw,wind_gust_mph_max,0.0026401928542224406,0.002152232615148,0.21992678923122178,-0.0015781055578200937,0.006858491266264975,3628,0.02854625593922233
WR,raw,rain_mm_h_avg,-0.054189512799849515,0.013438179201377293,5.51856506082686e-05,-0.08052786005234423,-0.027851165547354794,3628,0.02854625593922233
WR,raw,snow_cm_h_avg,-0.16739548781485905,0.11914389994787214,0.16002550028180884,-0.4009132406903321,0.06612226506061397,3628,0.02854625593922233
WR,piecewise,wind_over_10,-0.007634746841020303,0.005260943425406524,0.1467206982757063,-0.017946006479519876,0.0026765127974792673,3628,0.023692208580709306
WR,piecewise,gust_over_20,-0.003540792686114495,0.002491666340046992,0.155301030295621,-0.00842436897409733,0.00134278360186834,3628,0.023692208580709306
WR,piecewise,rain_any,0.010410550230479314,0.02379437168301496,0.6617331555695982,-0.03622556130298972,0.05704666176394835,3628,0.023692208580709306
WR,piecewise,rain_mm_h_avg,-0.053184307990304325,0.016315230613816525,0.0011149274786679973,-0.08516157239285004,-0.021207043587758614,3628,0.023692208580709306
WR,piecewise,snow_any,-0.06353427060645152,0.052053208889999814,0.22225116013380175,-0.1655566853105913,0.038488144097688276,3628,0.023692208580709306
WR,piecewise,snow_cm_h_avg,-0.08688761359200266,0.14697907189943202,0.5544156577490872,-0.3749613009960125,0.2011860738120072,3628,0.023692208580709306
WR,piecewise,cold_10f,-0.027846571665211588,0.008839628010337667,0.0016316027493499417,-0.04517192420220487,-0.010521219128218302,3628,0.023692208580709306
WR,piecewise,heat_10f,0.0680774432417506,0.09472260141318392,0.4723237689819939,-0.11757544405003272,0.2537303305335339,3628,0.023692208580709306
WR,interaction,wind_over_10,-0.0039568638552887345,0.005767666942421836,0.4926863951559365,-0.015261283337257788,0.007347555626680318,3628,0.024310465212603605
WR,interaction,gust_over_20,-0.0037167646537255906,0.0024900602425296744,0.1355313276982753,-0.008597193048418824,0.0011636637409676433,3628,0.024310465212603605
WR,interaction,rain_any,0.02037705330672926,0.026315431698346353,0.4387306105090183,-0.031200245059653298,0.07195435167311182,3628,0.024310465212603605
WR,interaction,rain_mm_h_avg,-0.053221940755010036,0.016287213786537625,0.0010842023635184717,-0.08514429318512802,-0.021299588324892052,3628,0.024310465212603605
WR,interaction,snow_any,-0.0244073269876832,0.06027139546711684,0.6855090761714333,-0.14253709140120285,0.09372243742583647,3628,0.024310465212603605
WR,interaction,snow_cm_h_avg,-0.09445926693418025,0.14336821730187418,0.5099870926614618,-0.37545580937356593,0.1865372755052054,3628,0.024310465212603605
WR,interaction,cold_10f,-0.028503090294462487,0.00888280790316175,0.001332934988771271,-0.045913073866247274,-0.0110931067226777,3628,0.024310465212603605
WR,interaction,heat_10f,0.06865981245389599,0.0948595632763556,0.4691855482344668,-0.11726151515695932,0.2545811400647513,3628,0.024310465212603605
WR,interaction,wind_over_10:rain_any,-0.006636396108509815,0.00582121361784058,0.25427108711006563,-0.01804576514579146,0.004772972928771832,3628,0.024310465212603605
WR,interaction,wind_over_10:snow_any,-0.011025956821520893,0.0077201161525771635,0.15323106046624077,-0.02615710643703806,0.0041051927939962755,3628,0.024310465212603605
